,Performer,IAFD Link,Career scene #
69,Unknown Female 1082636,"<a href=""https://www.iafd.com/person.rme/id=2a526d9c-bdb7-4bd6-b79f-b706a52f9e23"" target=""_blank"">https://www.iafd.com/person.rme/id=2a526d9c-bdb7-4bd6-b79f-b706a52f9e23</a>",1
70,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
71,Kitty Azure,"<a href=""https://www.iafd.com/person.rme/id=0570074f-e474-4d11-80db-680fbe34d018"" target=""_blank"">https://www.iafd.com/person.rme/id=0570074f-e474-4d11-80db-680fbe34d018</a>",1
72,Barbiee Express,"<a href=""https://www.iafd.com/person.rme/id=b783d618-7f52-471d-bc68-1084b3da3318"" target=""_blank"">https://www.iafd.com/person.rme/id=b783d618-7f52-471d-bc68-1084b3da3318</a>",84
73,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
74,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
75,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
76,Unknown Female 1082593,"<a href=""https://www.iafd.com/person.rme/id=aab86bb7-b974-443a-8811-0f05803a14e6"" target=""_blank"">https://www.iafd.com/person.rme/id=aab86bb7-b974-443a-8811-0f05803a14e6</a>",1
77,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
78,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
